words,from_dictionary,2 letters swapped,swapped word
անհավասարության,False,False,
անհավասարությունը,False,False,
անհավասարությունն,False,False,
ասվածից,False,False,
արժեքներ,False,False,
բխում,False,False,
գրված,False,False,
դառնում,False,False,
եռանկյան,False,False,
երրորդն,False,False,
զուգամիտում,False,False,
զույգը,False,False,
էլեմենտին,False,False,
էր,False,False,
ընդունող,False,False,
ընտրելուվ,False,False,
լեմմա,False,False,
կամայականության,False,False,
կարողա,False,False,
կողմը,False,False,
կունենանք,False,False,
համակարգին,False,False,
համաձայն,False,False,
հանդիսանում,False,False,
հաջորդականության,False,False,
հաջորդականությունը,False,False,
հատ,False,False,
հիլբերտի,False,False,
մաքսիմում,False,False,
մեկի,False,False,
մետրիկական,False,False,
մետրիկայի,False,False,
մետրիկայով,False,False,
մետրիկաներ,False,False,
մետրիկաները,False,False,
մետրիկաների,False,False,
միակն,False,False,
մինկովսկու,False,False,
նույնիսկ,False,False,
շնորհիվ,False,False,
որովհետև,False,False,
ռացիոնալ,False,False,
սահմանը,False,False,
ստացվածից,False,False,
տարածությունները,False,False,
ֆիքսված,False,False,
